id,nom,prenom,adresse,date_naissance,genre,numero_telephone,mail
219,Wagner,Matthieu,chemin de Poirier72290 Le Goff,1998-07-11,F,02 99 63 72 90,vmahe@example.net
220,Ribeiro,Claire,"12, boulevard Colette Gauthier34121 Labbé",1990-01-28,M,+33 2 79 41 99 50,opoirier@example.org
221,Legrand,Élise,"89, rue Clémence De Sousa40179 François",1993-12-30,F,04 26 13 95 39,arthur65@example.org
222,Maillet,Patrick,"76, boulevard Daniel Loiseau70081 François",1990-04-10,M,0248196858,theodore99@example.com
223,Gimenez,Maurice,"78, avenue Devaux77761 Saint Paul-sur-Mer",1993-10-06,M,+33 5 87 41 40 15,duboisnicolas@example.org
224,Chrétien,Christiane,"74, boulevard Leroy62599 Jacquot",1994-06-24,F,+33 4 50 80 64 00,nbrun@example.org
225,Lebrun,Arthur,"64, chemin Paulette Muller05934 LeclercBourg",1997-04-17,M,03 82 47 69 18,aime25@example.org
226,Wagner,Emmanuelle,"18, rue Joseph Godard57913 CouturierVille",1993-11-14,M,+33 (0)3 89 41 84 84,valerie28@example.com
227,Morin,Charlotte,"55, rue Cousin71482 Hebertnec",1990-03-11,M,04 43 55 35 97,petitjeanthibaut@example.net
228,Ribeiro,Alex,"670, rue Joubert77192 Humbert-les-Bains",1997-05-31,F,+33 4 93 10 66 06,eleonoreturpin@example.org
229,Rousseau,Xavier,chemin Arnaud69044 Lombard,1990-09-12,M,03 80 37 05 76,marchandcaroline@example.org
230,Descamps,Aimé,"767, rue de Guillot28918 Saint Pénélope",1995-07-13,F,0344510908,lebonhenriette@example.net
231,Paul,Jérôme,"45, boulevard Yves Jacquet70961 Muller-sur-Auger",1994-05-05,F,+33 (0)1 48 46 00 07,michelpierre@example.com
232,Pasquier,Philippe,"56, avenue Patricia Pascal55504 Albert-sur-Guichard",1996-03-17,F,0231721685,mpoirier@example.net
233,Thibault,Anaïs,"952, rue Adrienne Blot43415 Toussaint",1991-09-16,M,+33 (0)5 58 30 95 79,manoncosta@example.org
234,Michaud,Olivie,"94, avenue de Goncalves34192 BarbeVille",1999-01-07,M,+33 2 40 33 77 50,veroniquehoarau@example.com
235,Fischer,Emmanuelle,"7, chemin Clémence Fabre17352 Diaz",1998-10-22,F,+33 1 78 89 92 83,alphonse82@example.net
236,Millet,Zoé,"4, rue Audrey Michaud82663 Sainte Geneviève",1995-03-31,F,+33 (0)3 68 74 09 87,gaymarguerite@example.net
237,Leroux,Caroline,"80, rue Laurent Pierre46196 Guillou",1992-02-04,F,+33 1 82 50 09 53,renee46@example.com
238,Dumas,Rémy,"46, rue de Antoine02471 Nguyen-sur-Normand",1992-07-21,M,+33 4 37 37 79 99,sjoubert@example.org
239,Baron,Roland,"50, rue de Garnier63092 Fleury-sur-Gillet",1998-03-08,M,+33 (0)4 44 55 42 17,nathlacroix@example.com
240,Boucher,Juliette,"44, chemin Gabriel Laurent07304 Hernandez-sur-Hervé",1993-08-04,M,02 31 10 32 27,eguillaume@example.net
